42378,"Llorar, Llorar - VersiÃ³n 30 Aniversario",spotify:track:09mgbBXXeXZicCJfTwOmbx,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,16,244213,banda,2/21/2020,4.07,song34822,8806,song8806,244,04:04
42379,Siempre Te Voy A Recordar - VersiÃ³n 30 Aniversario,spotify:track:0NNRRkcFywFfRBVXPhIaRi,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,17,236906,ranchera,2/21/2020,3.95,song34823,8807,song8807,237,03:57
42380,Dime QuÃ© - VersiÃ³n 30 Aniversario,spotify:track:0NnS8BYGALrWqQJmnn2WDr,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,18,206093,regional mexican,2/21/2020,3.43,song34824,8808,song8808,206,03:26
42381,Es Bonito - VersiÃ³n 30 Aniversario,spotify:track:3KrrDoBOhd692qq3GTn8nb,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,19,191240,ranchera,2/21/2020,3.19,song34825,8809,song8809,191,03:11
42382,Ando Bien Pedo - VersiÃ³n 30 Aniversario,spotify:track:2xaXZpD7ENIr9VdH78KcHS,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,20,143613,nuevo regional mexicano,2/21/2020,2.39,song34826,880A,song880A,144,02:24
42383,Que A Toda Madre (Que A Todo Dar) - VersiÃ³n 30 Aniversario,spotify:track:5pEaDCSJN1QUJufDPfDE3J,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,21,131066,corrido,2/21/2020,2.18,song34827,880B,song880B,131,02:11
42384,En Resumen - VersiÃ³n 30 Aniversario,spotify:track:6CWSdD8rh56KWGtQIcje44,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,22,152986,nuevo regional mexicano,2/21/2020,2.55,song34828,880C,song880C,153,02:33
42385,Cuando Te Entregues A Ã‰l - VersiÃ³n 30 Aniversario,spotify:track:4Jz1N0yhbdYfu0qnaGXSxD,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,23,187666,regional mexican,2/21/2020,3.13,song34829,880D,song880D,188,03:08
42386,Mi Ãšltimo Deseo - VersiÃ³n 30 Aniversario,spotify:track:3wSZVsfKM56mOiepTS5LFb,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,24,163560,banda,2/21/2020,2.73,song34830,880E,song880E,164,02:44
42387,Hasta Que Salga El Sol - VersiÃ³n 30 Aniversario,spotify:track:5vvmkNSa5LDK4zCn315gcW,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,25,143266,corrido,2/21/2020,2.39,song34831,880F,song880F,143,02:23
42388,Me Sobrabas TÃº - VersiÃ³n 30 Aniversario,spotify:track:3MArYZdAffFpSmx5junZoW,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,26,181986,nuevo regional mexicano,2/21/2020,3.03,song34832,8810,song8810,182,03:02
42389,PistearÃ© - VersiÃ³n 30 Aniversario,spotify:track:0ZyBqtiFoSxKZYTjUzyj1K,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,27,144840,banda,2/21/2020,2.41,song34833,8811,song8811,145,02:25
42390,Me EstÃ¡ Gustando - VersiÃ³n 30 Aniversario,spotify:track:7GBmd8JHiZM4Eho1grumW6,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,28,178160,banda,2/21/2020,2.97,song34834,8812,song8812,178,02:58
